DayOfYear,MinuteOfDay,Duration
357,961,0.25
357,961,0.14
357,961,0.18
357,963,0.12
357,1409,0.37
357,1411,0.12
357,1411,0.12
357,1423,0.18
357,1425,0.12
357,1432,0.12
357,1433,0.12
358,15,0.12
358,23,0.23
358,331,0.07
358,331,0.12
358,936,0.18
358,940,0.14
358,1161,0.14
358,1165,0.12
358,1172,0.12
358,1173,0.12
358,1173,0.03
358,1337,0.32
358,1339,0.14
358,1339,0.12
358,1342,0.12
358,1435,0.2
358,1438,0.14
359,233,0.16
359,237,0.12
359,238,0.1
359,238,0.12
359,241,0.12
359,837,0.23
359,865,0.12
359,868,0.12
359,871,0.07
359,871,0.12
359,948,0.12
359,949,0.14
359,949,0.12
359,949,0.16
359,952,0.12
359,963,0.12
359,967,0.04
359,967,0.12
359,970,0.19
359,970,0.12
359,971,0.01
359,977,0.12
359,983,0.14
359,983,0.12
359,1220,0.03
359,1373,0.14
359,1382,0.4
360,38,0.16
360,40,0.12
360,40,0.14
360,40,0.16
360,40,0.12
360,50,0.12
360,50,0.18
360,70,0.16
360,72,0.14
360,77,0.17
360,77,0.12
360,77,0.06
360,77,0.07
360,77,0.11
360,77,0.14
360,78,0.08
360,78,0.06
360,79,0.23
360,79,0.27
360,79,0.12
360,80,0.1
360,83,0.17
360,814,0.04
360,814,0.16
360,814,0.15
360,817,0.12
360,817,0.24
360,821,0.12
360,861,0.12
360,1036,0.18
360,1053,0.12
360,1059,0.12
361,108,0.31
361,114,0.12
361,115,0.12
361,221,0.12
361,226,0.12
361,226,0.12
361,231,0.12
361,231,0.12
361,231,0.12
361,231,0.12
361,232,0.12
361,232,0.12
361,632,0.4
361,810,0.11
362,106,0.12
362,107,0.07
362,107,0.41
362,830,0.16
362,830,0.27
362,871,0.07
362,871,0.12
362,872,0.14
362,882,0.16
362,885,0.11
362,885,0.12
362,886,0.14
362,886,0.11
362,888,0.16
362,901,0.1
362,901,0.12
362,917,0.18
362,918,0.12
362,923,0.16
362,971,0.07
362,971,0.19
362,972,0.18
362,1366,0.08
362,1379,0.12
363,100,0.04
363,100,0.06
363,101,0.1
363,104,0.05
363,105,0.33
363,105,0.04
363,106,0.02
363,106,0.1
363,110,0.3
363,110,0.01
363,118,0.36
363,136,0.08
363,216,0.1
363,859,0.32
363,859,0.12
363,860,0.12
363,860,0.12
363,862,0.14
363,865,0.12
363,875,0.12
363,877,0.12
363,883,0.12
363,895,0.12
363,896,0.12
363,902,0.12
363,908,0.12
363,1405,0.44
364,17,0.12
364,18,0.05
364,18,0.12
364,19,0.12
364,22,0.12
364,23,0.12
364,24,0.12
364,28,0.12
364,32,0.12
364,886,0.45
364,886,0.12
364,895,0.19
364,900,0.12
364,912,0.16
364,915,0.18
364,922,0.12
364,946,0.12
364,955,0.12
364,1032,0.21
364,1036,0.14
364,1049,0.12
364,1058,0.16
364,1060,0.14
364,1066,0.12
364,1067,0.12
364,1072,0.12
364,1072,0.12
364,1074,0.12
364,1074,0.12
364,1079,0.12
364,1082,0.12
364,1082,0.14
364,1082,0.12
364,1087,0.12
364,1089,0.12
364,1090,0.12
364,1094,0.12
364,1094,0.12
364,1097,0.09
364,1097,0.12
364,1097,0.21
364,1347,0.35
364,1347,0.12
364,1348,0.12
364,1349,0.12
364,1353,0.36
364,1353,0.18
364,1353,0.12
364,1353,0.12
365,32,0.12
365,33,0.12
365,590,0.12
365,591,0.12
365,1174,0.16
365,1176,0.12
365,1176,0.12
365,1386,0.14
1,36,0.13
1,36,0.07
1,36,0.1
1,38,0.02
1,70,0.12
1,203,0.18
1,203,0.12
1,204,0.12
1,207,0.01
1,207,0.12
1,209,0.15
1,209,0.12
1,209,0.06
1,210,0.07
1,211,0.12
1,215,0.12
1,333,0.22
1,333,0.03
1,346,0.12
1,354,0.12
1,359,0.12
1,359,0.12
1,899,0.04
1,899,0.02
1,967,0.12
1,967,0.12
1,968,0.12
1,968,0.25
1,968,0.13
1,968,0.12
1,969,0.12
1,969,0.12
1,976,0.12
1,1066,0.12
1,1067,0.1
1,1067,0.12
1,1069,0.12
1,1070,0.12
1,1072,0.12
1,1074,0.12
1,1092,0.12
1,1095,0.12
1,1120,0.02
1,1121,0.23
1,1121,0.07
1,1132,0.17
1,1132,0.05
1,1132,0.04
1,1132,0.12
1,1132,0.14
1,1265,0.01
1,1265,0.11
1,1265,0.1
1,1268,0.28
1,1280,0.16
1,1280,0.11
1,1285,0.12
1,1296,0.09
1,1296,0.16
1,1316,0.1
1,1317,0.27
1,1389,0.63
2,119,0.16
2,119,0.12
2,185,0.14
2,195,0.14
2,200,0.79
2,201,0.12
2,209,0.12
2,210,0.18
2,259,0.04
2,259,0.04
2,260,0.22
2,260,0.23
2,261,0.1
2,262,0.89
2,262,0.14
2,264,0.12
2,273,0.12
2,276,0.43
2,277,0.11
2,278,0.32
2,279,0.17
2,279,0.08
2,279,0.09
2,279,0.06
2,280,0.18
2,281,0.12
2,283,0.15
2,283,0.16
2,283,0.17
2,283,0.05
2,287,0.11
2,287,0.15
2,287,0.04
2,287,0.08
2,288,0.28
2,288,0.22
2,288,0.14
2,289,0.19
2,290,0.59
2,292,0.28
2,292,0.36
2,293,0.06
2,293,0.1
2,293,0.14
2,293,0.2
2,293,0.18
2,293,0.02
2,295,0.69
2,295,0.04
2,295,0.07
2,295,0.04
2,295,0.09
2,295,0.05
2,297,0.79
2,297,0.1
2,298,0.29
2,299,0.24
2,299,0.13
2,300,0.05
2,301,0.8
2,301,0.3
2,301,0.04
2,302,0.16
2,302,0.15
2,302,0.15
2,302,0.1
2,302,0.03
2,303,0.33
2,306,0.19
2,306,0.26
2,306,0.04
2,307,0.17
2,308,0.23
2,308,0.14
2,309,0.1
2,309,0.18
2,309,0.24
2,309,0.1
2,310,0.06
2,310,0.03
2,312,0.36
2,312,0.12
2,312,0.1
2,316,0.18
2,949,0.16
2,953,0.12
2,959,0.12
2,959,0.12
2,964,0.12
2,992,0.17
2,1127,0.33
2,1127,0.12
2,1127,0.16
2,1129,0.12
2,1135,0.16
2,1157,0.12
2,1157,0.12
2,1157,0.12
2,1157,0.15
2,1158,0.12
2,1160,0.87
2,1160,0.12
2,1161,0.04
2,1161,0.02
2,1161,0.12
2,1166,0.01
2,1168,0.2
2,1173,0.11
2,1248,0.12
2,1248,0.14
2,1248,0.16
2,1304,0.14
2,1304,0.12
2,1318,0.12
2,1319,0.12
2,1324,0.05
2,1324,0.12
2,1324,0.05
2,1324,0.12
2,1324,0.03
2,1324,0.12
2,1324,0.14
2,1324,0.12
2,1324,0.03
2,1324,0.12
2,1324,0.03
2,1324,0.12
2,1339,0.12
2,1343,0.12
2,1345,0.12
2,1349,0.12
2,1349,0.12
2,1349,0.14
2,1354,0.12
2,1360,0.12
2,1367,0.12
2,1371,0.12
3,1,0.04
3,1,0.12
3,14,0.25
3,21,0.12
3,24,0.07
3,24,0.12
3,26,0.12
3,29,0.13
3,29,0.12
3,29,0.12
3,29,0.14
3,29,0.12
3,29,0.12
3,29,0.12
3,37,0.14
3,70,0.12
3,338,0.17
3,366,0.12
3,366,0.1
3,381,0.12
3,381,0.12
3,383,0.12
3,386,0.12
3,1063,0.2
3,1063,0.08
3,1066,0.07
3,1066,0.12
3,1196,0.15
3,1196,0.27
3,1262,0.14
3,1263,0.08
3,1273,0.84
3,1277,0.35
4,163,0.06
4,163,0.12
4,590,0.1
4,590,0.12
4,751,0.07
4,752,0.11
4,752,0.15
4,752,0.14
4,911,0.24
4,965,0.07
4,965,0.02
4,965,0.13
4,967,0.21
4,1082,0.08
4,1082,0.23
4,1106,0.22
4,1106,0.12
4,1341,0.1
4,1341,0.14
4,1341,0.17
4,1391,0.12
4,1394,0.12
4,1399,0.12
4,1399,0.14
4,1411,0.12
4,1412,0.12
4,1421,0.12
4,1421,0.12
4,1422,0.21
4,1422,0.12
4,1423,0.12
4,1425,0.12
4,1425,0.12
4,1427,0.12
5,84,0.05
5,96,0.47
5,96,0.2
5,97,0.08
5,236,0.05
5,951,0.08
5,953,0.06
5,1428,0.28
5,1428,0.15
6,3,0.11
6,3,0.12
6,3,0.18
6,3,0.12
6,3,0.11
6,3,0.12
6,27,0.2
6,28,0.09
6,30,0.23
6,948,0.24
6,968,0.14
6,968,0.12
7,12,0.16
7,17,0.12
7,82,0.09
7,82,0.12
7,89,0.16
7,89,0.32
7,89,0.15
7,94,0.09
7,100,0.12
7,103,0.23
7,103,0.12
7,104,0.1
7,104,0.12
7,113,0.1
7,114,0.21
7,115,0.31
7,421,0.24
7,425,0.12
7,1103,0.18
7,1111,0.17
7,1111,0.12
7,1116,0.16
7,1116,0.14
7,1120,0.12
7,1131,0.14
7,1133,0.17
7,1133,0.12
7,1139,0.11
7,1220,0.14
8,30,0.27
8,95,0.18
8,95,0.16
8,95,0.2
8,95,0.12
8,97,0.12
8,101,0.16
8,143,0.12
8,143,0.12
8,143,0.81
8,143,0.81
8,145,0.17
8,145,0.17
8,146,0.17
8,146,0.07
8,448,0.18
8,451,0.12
8,461,0.12
8,470,0.16
8,470,0.12
8,486,0.12
8,486,0.07
8,486,0.12
8,486,0.07
8,486,0.12
8,495,0.12
8,834,0.21
8,834,0.12
8,869,0.12
8,892,0.12
8,1317,0.24
8,1317,0.07
8,1322,0.12
8,1336,0.12
8,1404,0.12
8,1404,0.09
8,1409,0.14
8,1409,0.14
9,631,0.1
9,631,0.04
9,786,0.4
9,787,0.12
9,790,0.15
9,792,0.02
9,794,0.04
9,795,0.04
9,799,0.09
9,807,0.14
9,810,0.13
9,833,0.12
9,837,0.12
9,839,0.12
9,1254,0.12
9,1254,0.03
10,786,0.57
10,786,0.15
10,786,0.18
10,787,0.2
10,787,0.09
10,787,0.17
10,788,0.03
10,789,0.39
10,799,0.22
10,807,0.08
10,807,0.05
10,807,0.17
10,849,0.12
10,1035,0.14
10,1035,0.15
10,1035,0.1
10,1035,0.09
10,1036,0.1
10,1036,0.11
10,1037,0.03
10,1038,0.32
10,1038,0.18
